paper_id,lemma
1,aut0010.1177/13623613261431309autismbarnicot
1,research-article2026
1,autism
1,overlappe
1,differentiating
1,vol.
1,clinical
1,feature
1,autism
1,guideline
1,personality
1,disorder
1,sagepub.com/journals-permission
1,journals.sagepub.com/home/aut
1,woman
1,people
1,assign
1,female
1,birth
1,cross
1,-sectional
1,study
1,kirsten
1,barnicot1
1,elissa
1,thompson1
1,sally
1,turner1
1,mandy2
1,rose
1,mccabe1
1,eloise
1,stark
1,jennie
1,parker
1,abstract
1,previous
1,research
1,suggest
1,potential
1,phenotypic
1,similarity
1,autism
1,borderline
1,personality
1,disorder
1,bpd
1,aim
1,identify
1,overlappe
1,differentiat
1,characteristic
1,diagnostic
1,woman
1,people
1,assign
1,female
1,birth
1,pafab
1,woman
1,pafab
1,autism
1,diagnosis
1,bpd
1,diagnosis
1,subclinical
1,trait
1,comparator
1,diagnosis
1,complete
1,range
1,report
1,questionnaire
1,emotional
1,reactivity
1,emotional
1,dysregulation
1,identity
1,disruption
1,difficulty
1,rejection
1,sensitivity
1,significantly
1,characteristic
1,bpd
1,diagnose
1,participant
1,identity
1,disruption
1,represent
1,biggest
1,difference
1,autistic
1,participant
1,confidence
1,interval
1,autistic
1,participant
1,score
1,significantly
1,highly
1,measure
1,sensory
1,processing
1,social
1,cognition
1,behaviour
1,preference
1,sameness
1,repetitive
1,motor
1,behaviour
1,sensory
1,processing
1,represent
1,biggest
1,difference
1,bpd
1,diagnose
1,participant
1,difference
1,social
1,cognition
1,social
1,camouflaging
1,identity
1,disruption
1,impulsivity
1,cope
1,correctly
1,classify
1,participant
1,curve
1,auc
1,comparison
1,measure
1,score
1,previous
1,research
1,suggest
1,complex
1,phenotypic
1,similarity
1,autistic
1,individual
1,bpd
1,align
1,characteristic
1,population
1,vice
1,versa
1,lay
1,abstract
1,autism
1,similar
1,borderline
1,personality
1,disorder
1,bpd
1,lead
1,diagnostic
1,experience
1,difficulty
1,regulate
1,emotion
1,improve
1,diagnosis
1,understand
1,similarity
1,difference
1,autism
1,bpd
1,adult
1,woman
1,people
1,assign
1,female
1,birth
1,pafab
1,people
1,complete
1,questionnaire
1,woman
1,pafab
1,autism
1,diagnosis
1,meet
1,diagnostic
1,criteria
1,bpd
1,woman
1,pafab
1,diagnose
1,meet
1,diagnostic
1,criteria
1,bpd
1,autistic
1,questionnaire
1,participant
1,experience
1,emotion
1,interact
1,relate
1,people
1,experience
1,identity
1,concept
1,react
1,sensory
1,input
1,sound
1,smell
1,repetitive
1,movement
1,preference
1,sticking
1,familiar
1,difference
1,expect
1,autistic
1,people
1,people
1,meet
1,diagnostic
1,criteria
1,bpd
1,autistic
1,people
1,describe
1,sensitive
1,sensory
1,input
1,describe
1,mask
1,social
1,interaction
1,describe
1,challenge
1,understand
1,social
1,behaviour
1,nonautistic
1,people
1,compare
1,people
1,meet
1,diagnostic
1,criteria
